Transaction_ID,Customer_ID,Transaction_Date,Transaction_Type,Product_ID,Product,Amount_INR,Channel,Branch_Name,State,RM_Name,Status,Narration,GST_INR,Processing_Fee_INR,Net_Amount_INR
TXN6180257,CUST31093,24-03-2014,NEFT,PRD0002,PERSONAL LOAN,458931.72,Phone Banking,East Zone,West Bengal,vijay kumar,Under Review,NEFT - Personal Loan - Mar 2014,82607.71,256.25,376067.76
TXN6192707,CUST29215,28-06-2025,PENALTY CHARGE,PRD0002,Personal Loan,4081170.59,atm,East Zone,Odisha,  Sanjay Gupta,COMPLETED,Penalty Charge - Personal Loan - Jun 2025,0,128.47,4081042.12
TXN6028293,CUST39912,13-Oct-22,Interest Credit,PRD0002,Personal Loan,3070600.55,POS,central zone,Kerala,Anita Bose,Failed,Interest Credit - Personal Loan - Oct 2022,0,305.86,Rs.3070294.69
TXN3874563,CUST20357,12-09-2020,CREDIT,PRD0004,Gold Loan,2966808.22,pos,South Zone,Rajasthan,Lalita Devi,Under Review,Credit - Gold Loan - Sep 2020,0,109.26,2966698.96
TXN1170467,CUST96200,24-03-2014,Loan Disbursal,PRD0005,Education Loan,2833641.63,Phone Banking,West Zone,Uttar Pradesh,RAHUL PILLAI,Completed,Loan Disbursal - Education Loan - Jun 2011,510055.49,305.47,2323280.67
TXN6490445,CUST72459,28-06-2025,  EMI Payment,PRD0007,Loan Against Property,423668.02,Internet Banking,Central Zone,Odisha,Arun Mehta,Pending,EMI Payment - Loan Against Property - Apr 2018,76260.24,102.35,347305.43
TXN5707347,CUST51116,11-11-2024,NEFT,PRD0013,Insurance,4796336.84,Internet Banking,North Zone,Odisha,Ramesh Yadav,Under Review,NEFT - Insurance - Nov 2024,0,219.08,4796117.76
TXN2808703,CUST55224,04-Jul-20,Credit,PRD0004,Gold Loan,1148994.25,Internet Banking,East Zone,DELHI,Sanjay Gupta,Completed,Credit - Gold Loan - Jul 2020,206818.96,367.03,941808.26
TXN3131642,CUST30286,13-10-2022,Cash Deposit,PRD0005,Education Loan,340972.83,Phone Banking,North Zone,Kerala,Priya Nair,Pending,Cash Deposit - Education Loan - Mar 2020,0,478.81,340494.02
TXN8871214,CUST72394,07-06-2023,Interest Credit,PRD0003,  Auto Loan,2529193.35,Branch,SOUTH ZONE,tamil nadu,Meena Iyer,Failed,Interest Credit - Auto Loan - Jun 2023,455254.8,477.89,2073460.66
TXN8623811,CUST10820,12-09-2020,Cash Deposit,PRD0001,home loan,1457094.55,  Branch,south zone,Rajasthan,lalita devi,Under Review,Cash Deposit - Home Loan - May 2013,262277.02,293.88,1194523.65
