"OrderID,OrderDate,Region,Salesperson,Category,Product,Quantity,UnitPrice,Sales,Profit"
"1001,2026-01-05,North,Amit,Laptop,Dell Inspiron,2,55000,110000,18000"
"1002,2026-01-07,South,Priya,Mobile,Samsung A55,5,28000,140000,21000"
"1003,2026-01-10,East,Rahul,Accessory,Wireless Mouse,10,800,8000,2500"
"1004,2026-01-15,West,Neha,Laptop,HP Pavilion,1,62000,62000,9000"
"1005,2026-01-20,North,Amit,Tablet,Lenovo Tab,3,22000,66000,9000"
"1006,2026-02-02,South,Priya,Accessory,Keyboard,8,1200,9600,2600"
"1007,2026-02-08,East,Rahul,Mobile,iPhone 16,2,78000,156000,24000"
"1008,2026-02-12,West,Neha,Laptop,MacBook Air,1,98000,98000,18000"
"1009,2026-02-18,North,Amit,Accessory,USB Drive,20,700,14000,4200"
"1010,2026-02-24,South,Priya,Tablet,Samsung Tab,2,26000,52000,7500"
"1011,2026-03-03,East,Rahul,Laptop,Acer Aspire,2,48000,96000,15000"
"1012,2026-03-08,West,Neha,Accessory,Headphones,6,2500,15000,4500"
"1013,2026-03-15,North,Amit,Mobile,OnePlus 13,4,42000,168000,28000"
"1014,2026-03-20,South,Priya,Laptop,Lenovo ThinkPad,1,72000,72000,12000"
"1015,2026-03-25,East,Rahul,Accessory,Webcam,5,3200,16000,4800"
"1016,2026-04-02,West,Neha,Tablet,iPad Air,2,60000,120000,22000"
"1017,2026-04-06,North,Amit,Accessory,SSD 1TB,4,6500,26000,7000"
"1018,2026-04-12,South,Priya,Mobile,Google Pixel,3,52000,156000,26000"
"1019,2026-04-18,East,Rahul,Laptop,Asus VivoBook,2,50000,100000,17000"
"1020,2026-04-26,West,Neha,Accessory,Monitor,3,14500,43500,8500"
"1021,2026-05-04,North,Amit,Tablet,Realme Pad,5,18000,90000,14000"
"1022,2026-05-10,South,Priya,Accessory,Printer,2,11000,22000,5000"
"1023,2026-05-16,East,Rahul,Mobile,Motorola Edge,3,30000,90000,15000"
"1024,2026-05-21,West,Neha,Laptop,Dell XPS,1,125000,125000,22000"
"1025,2026-06-02,North,Amit,Accessory,Router,6,3500,21000,4500"
"1026,2026-06-08,South,Priya,Tablet,Xiaomi Pad,4,25000,100000,17000"
"1027,2026-06-12,East,Rahul,Laptop,MSI Gaming,1,95000,95000,18000"
"1028,2026-06-18,West,Neha,Mobile,Vivo X200,4,36000,144000,23000"
"1029,2026-06-23,North,Amit,Accessory,Power Bank,10,1800,18000,4000"
"1030,2026-06-28,South,Priya,Laptop,HP EliteBook,2,68000,136000,21000"
