Record_ID,Year,Month,Month_Name,Quarter,Branch_Zone,State,Segment,KPI_Name,Budget_INR_Lakhs,Actual_INR_Lakhs,Variance_INR_Lakhs,Variance_Pct,Target_Achieved,RM_Responsible,Last_Updated
BA00001,2015,7,July,Q3,South Zone,haryana,Priority Banking,Total Deposits,2120.94,1901.5,219.44,-10.35%,No,Arun Mehta,24-07-2015
BA00002,2016,4,April,Q2,Central Zone,ANDHRA PRADESH,SME Banking,fee income,62.65,51.07,-11.58,-18.48%,No,nitin joshi,11-Apr-24
BA00003,2015,12,Dec,Q4,West Zone,Andhra Pradesh,retail banking,Cross Sell Revenue,402.34,370.86,-31.48,-7.83%,Y,Priya Nair,20-12-2025
BA00004,2011,1,January,Q1,west zone,Delhi,Priority Banking,OPERATING EXPENSE,4910.72,5070.77,160.05,3.26%,Yes,Kavitha Subramanian,02-12-2022
BA00005,2022,1,January,Q1,South Zone,Punjab,NRI Banking,Total Disbursement,3544.84,Rs.2758.37,-786.47,-22.19%,No,Anita Bose,25-Oct-23
BA00006,2020,7,Jul,Q3,west zone,Gujarat,nri banking,total disbursement,4278.2,3085.47,-1192.73,-27.88%,No,Nitin Joshi,18-08-2021
BA00007,2025,1,Jan,Q1,North Zone,Kerala,NRI BANKING,Total Deposits,2676.42,3289.57,613.15,22.91%,Yes,Lalita Devi,16-03-2025
BA00008,2017,9,September,Q3,West Zone,Punjab,NRI Banking,Total Disbursement,2618.79,2604.19,-14.6,-0.56%,No,Arun Mehta,24-09-2017
BA00009,2025,9,September,Q3,South Zone,Maharashtra,Corporate Banking,Net Interest Income,3604.2,3893.34,289.14,8.02%,YES,  Ramesh Yadav,09-Aug-25
BA00010,2017,7,July,Q3,East Zone,Odisha,SME Banking,New Customer Acquisition,598.32,498.6,-207.39,-29.38%,No,Deepa Krishnan,24-07-2017
BA00011,2012,4,April,Q2,East Zone,Tamil Nadu,SME Banking,New Customer Acquisition,769.61,566.29,-203.32,-26.42%,No,sanjay gupta,24-04-2012
BA00012,2015,11,NOVEMBER,Q4,South Zone,TELANGANA,Corporate Banking,Operating Expense,3601.72,3045.14,-556.58,-15.45%,No,Lalita Devi,24-11-2015
BA00013,2018,7,July,Q3,West Zone,  Uttar Pradesh,SME Banking,  Fee Income,1840.13,2165.21,325.08,17.67%,yes,Nitin Joshi,28-Dec-24
BA00014,2020,8,August,Q3,East Zone,Telangana,SME Banking,Operating Expense,4268.9,4512.56,243.66,5.71%,Yes,Kavitha Subramanian,26-Oct-20
BA00015,2024,4,April,Q2,West Zone,Madhya Pradesh,Retail Banking,Cross Sell Revenue,2989.96,,-612.2,-20.48%,No,Kavitha Subramanian,24-04-2024
BA00016,2012,10,10,Q4,East Zone,Gujarat,Retail Banking,Cross Sell Revenue,4166.96,3134.94,-1032.02,-24.77,No,Ramesh Yadav,24-10-2012
BA00017,2010,6,JUNE,Q2,South Zone,Karnataka,Corporate Banking,Fee Income,4436.15,3723.33,-712.82,-16.07%,No,Deepa Krishnan,11-05-2021
BA00018,2022,6,June,Q2,East Zone,Madhya Pradesh,Retail Banking,Net Interest Income,82.16,76.65,-5.51,-6.70%,No,Mohan Das,29-04-2024
BA00019,2021,2,FEBRUARY,Q1,Central Zone,Rajasthan,Retail Banking,new customer acquisition,460.308,383.59,Rs.-63.44,-14.19%,No,Sanjay Gupta,21-03-2024
BA00020,2023,6,June,Q2,Central Zone,Delhi,Retail Banking,OPERATING EXPENSE,909.44,1002.5,93.06,10.23%,Yes,Sunita Rao,30-03-2023
BA00021,2020,4,April,Q2,central zone,  Andhra Pradesh,NRI Banking,Fee Income,3438.59,2985.24,-453.35,-13.18%,No,Arun Mehta,26-10-2015
BA00022,2012,11,November,Q4,East Zone,Karnataka,SME Banking,Fee Income,2159.45,2230.49,71.04,3.29%,Yes,  Nitin Joshi,18-02-2017
BA00023,2010,3,March,Q1,North Zone,Telangana,Corporate Banking,New Customer Acquisition,2052.61,2223.36,170.75,8.32%,Yes,Sanjay Gupta,10-03-2015
BA00024,2023,9,Sep,Q3,  Central Zone,Tamil Nadu,SME BANKING,Profit Before Tax,Rs.3548.09,3467.38,-80.71,-2.27%,No,Arun Mehta,10-12-2024
BA00025,2020,4,4,Q2,East Zone,Karnataka,SME Banking,Profit Before Tax,2304.07,1863.72,-440.35,-19.11%,No,anita bose,24-04-2020
BA00026,2015,5,May,Q2,West Zone,Rajasthan,Priority Banking,Profit Before Tax,Rs.3793.97,2682.64,-1111.33,-29.29%,No,Anita Bose,07-06-2023
BA00027,2016,6,June,Q2,West Zone,Odisha,  Corporate Banking,Fee Income,Rs.2126.16,1540.54,-585.62,-27.54%,No,Arun Mehta,24-06-2016
BA00028,2010,7,7,Q3,East Zone,Gujarat,Corporate Banking,Recovery Amount,1108.79,966.52,-142.27,-12.83%,No,Nitin Joshi,10-Nov-19
BA00029,2015,4,April,Q2,East Zone,Karnataka,NRI Banking,New Customer Acquisition,4160.16,4735.69,,13.83%,Yes,DEEPA KRISHNAN,12-Jul-16
BA00030,2023,2,February,Q1,East Zone,Punjab,Priority Banking,New Customer Acquisition,4888.96,4743.08,-145.88,-2.98%,No,lalita devi,15-10-2025
BA00031,2015,8,AUGUST,Q3,West Zone,  Haryana,Corporate Banking,  Total Deposits,1274.16,1179.98,-94.18,-7.39,No,Ramesh Yadav,29-Aug-25
BA00032,2020,8,August,Q3,West Zone,Kerala,Priority Banking,total deposits,3142.34,3337.92,Rs.195.58,6.22%,Yes,Mohan Das,23-01-2020
BA00033,2025,11,NOVEMBER,Q4,East Zone,Karnataka,Corporate Banking,Cross Sell Revenue,3794.18,4592.63,798.45,21.04%,Yes,Ramesh Yadav,06-May-25
BA00034,2022,2,Feb,Q1,  Central Zone,Haryana,Priority Banking,Cross Sell Revenue,4375.54,3981.43,-394.11,-9.01%,No,Priya Nair,24-02-2022
BA00035,2014,8,Aug,Q3,West Zone,Gujarat,Retail Banking,Fee Income,2085.97,2045.58,-40.39,-1.94%,No,Anita Bose,24-08-2014
BA00036,2023,4,April,Q2,east zone,Madhya Pradesh,retail banking,Recovery Amount,4670.46,5278.22,,13.01%,Yes,Lalita Devi,21-04-2025
BA00037,2011,2,February,Q1,West Zone,odisha,NRI Banking,Fee Income,3629.78,4599.03,969.25,26.70%,Yes,Anita Bose,24-02-2011
BA00038,2011,12,December,Q4,West Zone,Telangana,SME Banking,recovery amount,152.82,192.18,39.36,25.76%,Yes,PRIYA NAIR,24-12-2011
BA00039,2010,12,Dec,Q4,West Zone,Punjab,sme banking,Recovery Amount,924.3,1022.54,98.24,10.63%,Yes,Kavitha Subramanian,29-10-2024
BA00040,2010,10,OCTOBER,Q4,North Zone,Telangana,  Retail Banking,Cross Sell Revenue,4196.74,5391.95,1195.21,28.48%,Yes,Mohan Das,02-08-2024
BA00041,2023,8,Aug,Q3,West Zone,West Bengal,SME Banking,Recovery Amount,1597.91,2019.1,,26.36%,Yes,Priya Nair,08-03-2025
BA00042,2013,10,October,Q4,South Zone,Tamil Nadu,SME Banking,Net Interest Income,1945.46,2073.35,127.89,6.57%,Yes,Deepa Krishnan,24-10-2013
BA00043,2013,9,September,Q3,South Zone,kerala,Priority Banking,Fee Income,2870.712,2392.26,395.84,19.83%,Yes,kavitha subramanian,05-Sep-13
BA00044,2013,4,April,Q2,central zone,Gujarat,Priority Banking,cross sell revenue,1882.36,1922.55,Rs.40.19,2.14%,YES,MEENA IYER,17-Sep-14
BA00045,2017,5,May,Q2,WEST ZONE,Uttar Pradesh,SME Banking,  Profit Before Tax,3402.56,3950.37,547.81,16.10%,Yes,MOHAN DAS,17-08-2024
BA00046,2022,11,November,Q4,South Zone,Madhya Pradesh,Priority Banking,Fee Income,3180.49,3523.88,343.39,10.80%,Yes,Sunita Rao,09-09-2024
BA00047,2019,3,MARCH,Q1,SOUTH ZONE,Telangana,SME Banking,Total Deposits,1698.19,1569.4,Rs.-128.79,-7.58%,No,MEENA IYER,24-03-2019
BA00048,2023,5,5,Q2,EAST ZONE,Uttar Pradesh,SME Banking,Recovery Amount,2775.97,2672.93,-103.04,-3.71%,No,Ramesh Yadav,03-Jul-24
BA00049,2014,12,DECEMBER,Q4,South Zone,Odisha,SME BANKING,Operating Expense,785.36,705.81,-79.55,-10.13%,No,Sunita Rao,24-12-2014
BA00050,2013,7,Jul,Q3,South Zone,Telangana,SME Banking,Total Disbursement,4259.65,3567.03,-692.62,-16.26%,No,Anita Bose,06-02-2021
BA00051,2020,10,10,Q4,West Zone,UTTAR PRADESH,nri banking,RECOVERY AMOUNT,311.38,Rs.332.21,20.83,6.69%,Yes,Nitin Joshi,29-09-2023
BA00052,2021,9,September,Q3,North Zone,Uttar Pradesh,Retail Banking,  Fee Income,1795.3,1985.39,190.09,10.59%,Yes,Kavitha Subramanian,24-09-2021
BA00053,2015,12,Dec,Q4,Central Zone,  Andhra Pradesh,Retail Banking,Total Deposits,3714.46,4746.41,1031.95,27.78%,Yes,Mohan Das,15-12-2021
BA00054,2014,5,May,Q2,South Zone,Odisha,Corporate Banking,New Customer Acquisition,1979.13,2570.78,591.65,29.89%,Yes,Ramesh Yadav,09-Aug-18
BA00055,2014,12,December,Q4,North Zone,Uttar Pradesh,Corporate Banking,NPA AMOUNT,1795.56,1855.4,59.84,3.33%,Yes,Sanjay Gupta,05-05-2017
BA00056,2010,5,MAY,Q2,East Zone,Rajasthan,Corporate Banking,Operating Expense,3853.05,4243.34,390.29,10.13%,YES ,arun mehta,14-11-2019
BA00057,2011,6,June,Q2,West Zone,Tamil Nadu,Priority Banking,  Fee Income,Rs.4739.61,4029.66,-709.95,-14.98%,No,Sunita Rao,14-Jul-18
BA00058,2024,10,October,Q4,West Zone,Maharashtra,NRI Banking,New Customer Acquisition,3376.03,3209.48,-166.55,-4.93%,No,Sanjay Gupta,09-05-2025
BA00059,2013,6,June,Q2,South Zone,Delhi,SME Banking,FEE INCOME,1731.15,1789.74,58.59,3.38%,Yes,Rajesh Sharma,01-Sep-20
BA00060,2013,8,August,Q3,West Zone,Kerala,RETAIL BANKING,NPA AMOUNT,2824.36,3150.11,325.75,11.53%,Yes,Nitin Joshi,01-12-2017
BA00061,2012,8,Aug,Q3,South Zone,Kerala,NRI Banking,NPA AMOUNT,685.61,647.03,-38.58,-5.63%,No,lalita devi,24-08-2012
BA00062,2014,4,April,Q2,Central Zone,Madhya Pradesh,Retail Banking,Recovery Amount,2789.22,2644.07,-145.15,-5.20%,No,Deepa Krishnan,05-11-2023
BA00063,2024,9,September,Q3,West Zone,kerala,SME Banking,Profit Before Tax,3054.09,2710.2,-343.89,-11.26%,No,Rajesh Sharma,03-01-2025
BA00064,2010,10,October,Q4,West Zone,Odisha,NRI Banking,Net Interest Income,4742.49,3435.4,-1307.09,-27.56%,No,Ramesh Yadav,17-06-2014
BA00065,2020,1,January,Q1,north zone,Andhra Pradesh,Priority Banking,Profit Before Tax,2303.64,2274.02,-29.62,-1.29%,No,Arun Mehta,18-09-2021
BA00066,2011,4,April,Q2,South Zone,UTTAR PRADESH,nri banking,Recovery Amount,1350.57,1377.15,26.58,1.97,Yes,Meena Iyer,24-04-2011
BA00067,2020,10,October,Q4,CENTRAL ZONE,madhya pradesh,NRI Banking,NPA Amount,2739.51,2822.37,Rs.82.86,3.02%,Yes,Arun Mehta,06-08-2023
BA00068,2025,12,DECEMBER,Q4,South Zone,Andhra Pradesh,SME Banking,PROFIT BEFORE TAX,186.7,180.3,-6.4,-3.43%,No,Sanjay Gupta,22-05-2025
BA00069,2025,8,August,Q3,west zone,Andhra Pradesh,Corporate Banking,npa amount,4951.61,4657.35,-294.26,-5.94%,No,Deepa Krishnan,23-09-2025
BA00070,2015,7,July,Q3,South Zone,Gujarat,Corporate Banking,Profit Before Tax,674.06,740.08,66.02,9.79%,Yes,Lalita Devi,04-12-2023
BA00071,2011,5,May,Q2,Central Zone,delhi,  NRI Banking,Net Interest Income,1876.38,2064.91,,10.05%,Yes,Anita Bose,24-05-2011
BA00072,2019,6,Jun,Q2,  West Zone,Rajasthan,Retail Banking,total deposits,1443.86,1384.46,-59.4,-4.11%,No,sanjay gupta,06-03-2019
BA00073,2024,2,February,Q1,West Zone,  Andhra Pradesh,Retail Banking,Net Interest Income,4453.512,3711.26,582.99,18.64%,Yes,Lalita Devi,26-04-2025
BA00074,2010,6,June,Q2,South Zone,PUNJAB,  Retail Banking,Operating Expense,1673.79,1984.48,310.69,18.56%,Yes,Lalita Devi,24-06-2010
BA00075,2012,6,Jun,Q2,Central Zone,Kerala,NRI Banking,  Profit Before Tax,747.06,835.98,88.92,11.90%,Yes,Sanjay Gupta,23-12-2014
BA00076,2024,4,April,Q2,West Zone,UTTAR PRADESH,SME Banking,Total Disbursement,3727.98,Rs.4325.82,,16.04%,Yes,Vijay Kumar,24-04-2024
BA00077,2012,4,Apr,Q2,EAST ZONE,Karnataka,Corporate Banking,net interest income,2510.32,2979.46,469.14,18.69%,Yes,Lalita Devi,24-04-2012
BA00078,2016,6,June,Q2,West Zone,Maharashtra,Priority Banking,Total Deposits,2129.77,2630.77,501,23.52%,Yes,Sunita Rao,16-01-2017
BA00079,2021,1,1,Q1,EAST ZONE,  Tamil Nadu,sme banking,Net Interest Income,4828.49,5504.18,Rs.675.69,13.99%,YES,  Amit Patel,24-01-2021
BA00080,2013,2,February,Q1,East Zone,Gujarat,Retail Banking,Total Disbursement,3090.07,3500.32,410.25,13.28,N,  Amit Patel,05-12-2025
BA00081,2021,8,August,Q3,North Zone,west bengal,Corporate Banking,Recovery Amount,1049.03,1289.27,240.24,22.90%,Yes,Priya Nair,09-01-2021
BA00082,2014,6,6,Q2,West Zone,Delhi,Priority Banking,total disbursement,1337.05,1493.71,156.66,11.72%,Yes,Lalita Devi,25-Oct-17
BA00083,2013,2,February,Q1,West Zone,Madhya Pradesh,RETAIL BANKING,NPA Amount,2116.59,2241.95,125.36,5.92%,Yes,Amit Patel,24-02-2013
BA00084,2017,7,Jul,Q3,North Zone,Gujarat,sme banking,NEW CUSTOMER ACQUISITION,4557.18,5690.76,1133.58,24.87%,YES,  Priya Nair,20-11-2020
BA00085,2010,10,October,Q4,East Zone,Telangana,SME Banking,NPA Amount,309.44,251.09,-58.35,-18.86%,N,Mohan Das,30-06-2011
BA00086,2018,5,May,Q2,North Zone,Madhya Pradesh,NRI BANKING,Total Deposits,4713.26,5773.77,1060.51,22.50%,Yes,RAMESH YADAV,16-12-2019
BA00087,2019,12,DECEMBER,Q4,West Zone,  Andhra Pradesh,  Corporate Banking,Net Interest Income,3182.57,3520.47,337.9,10.62%,Yes,Lalita Devi,24-12-2019
BA00088,2013,6,June,Q2,East Zone,Punjab,Corporate Banking,Profit Before Tax,3015.49,2808.73,-206.76,-6.86%,No,Anita Bose,24-06-2013
BA00089,2011,9,September,Q3,West Zone,Gujarat,retail banking,New Customer Acquisition,4708.48,5411.77,,14.94%,Yes,lalita devi,24-09-2011
BA00090,2022,10,10,Q4,CENTRAL ZONE,delhi,Corporate Banking,Cross Sell Revenue,3741.74,3803.13,61.39,1.64%,Yes,Arun Mehta,20-03-2025
BA00091,2025,4,4,Q2,East Zone,Gujarat,Priority Banking,New Customer Acquisition,244.54,219.31,-25.23,-10.32%,YES ,ramesh yadav,24-04-2025
BA00092,2012,6,June,Q2,SOUTH ZONE,Maharashtra,Priority Banking,Operating Expense,3427.74,4416.81,989.07,28.85%,Yes,Anita Bose,24-06-2012
BA00093,2012,8,Aug,Q3,North Zone,  Maharashtra,NRI Banking,Total Disbursement,1033.92,1222.31,188.39,18.22%,Yes,Arun Mehta,24-08-2012
BA00094,2019,1,January,Q1,West Zone,Haryana,Corporate Banking,Net Interest Income,4213.11,3975.72,-237.39,-5.63,No,Deepa Krishnan,22-04-2021
BA00095,2016,6,June,Q2,North Zone,Punjab,Priority Banking,Total Deposits,812.71,832.55,19.84,2.44%,Yes,meena iyer,24-06-2016
BA00096,2014,2,February,Q1,Central Zone,Punjab,Priority Banking,Cross Sell Revenue,3750.79,4217.12,466.33,12.43%,Yes,ramesh yadav,24-02-2014
BA00097,2012,4,Apr,Q2,east zone,Telangana,NRI Banking,Net Interest Income,1139.01,897.75,-241.26,-21.18%,No,Sanjay Gupta,24-04-2012
BA00098,2013,10,October,Q4,Central Zone,Delhi,NRI Banking,Total Disbursement,360.21,344.33,-15.88,-4.41%,No,Vijay Kumar,24-10-2013
BA00099,2016,8,August,Q3,East Zone,  Haryana,NRI Banking,Net Interest Income,4178.676,3482.23,Rs.-1317.72,-27.45%,No,Nitin Joshi,10-Oct-19
BA00100,2024,6,June,Q2,WEST ZONE,Karnataka,NRI BANKING,Total Deposits,3293.79,2620.33,-673.46,-20.45%,No,Arun Mehta,24-07-2025
BA00101,2017,7,July,Q3,Central Zone,Odisha,SME Banking,Total Deposits,2656.79,1913.63,-743.16,-27.97%,Y,Lalita Devi,10-Feb-23
BA00102,2011,11,November,Q4,North Zone,DELHI,NRI BANKING,NPA Amount,1782.09,1850.76,68.67,3.85%,Yes,Ramesh Yadav,11-02-2020
BA00103,2010,6,Jun,Q2,West Zone,Andhra Pradesh,SME Banking,FEE INCOME,4360.88,3669.73,-691.15,-15.85%,No ,Arun Mehta,05-10-2025
BA00104,2016,7,July,Q3,  West Zone,Karnataka,Retail Banking,New Customer Acquisition,165.33,120.87,-44.46,-26.89%,No,Ramesh Yadav,28-01-2018
BA00105,2022,3,March,Q1,Central Zone,Maharashtra,NRI Banking,cross sell revenue,3759.45,4557.41,797.96,21.23,Yes,priya nair,22-07-2022
BA00106,2016,6,June,Q2,Central Zone,Punjab,Retail Banking,Recovery Amount,2218.49,2224.05,5.56,0.25%,Yes,Priya Nair,27-10-2025
BA00107,2016,7,July,Q3,WEST ZONE,West Bengal,RETAIL BANKING,FEE INCOME,2766.23,2251.9,-514.33,-18.59%,No,Anita Bose,17-03-2023
BA00108,2010,4,April,Q2,South Zone,punjab,Retail Banking,NPA Amount,4109.8,3516.65,-593.15,-14.43%,No,Meena Iyer,23-Apr-12
BA00109,2013,4,April,Q2,South Zone,Punjab,SME Banking,Fee Income,3072.32,3267.92,195.6,6.37%,Yes,Lalita Devi,24-04-2013
BA00110,2010,10,October,Q4,North Zone,TELANGANA,Corporate Banking,Net Interest Income,4760.73,Rs.4770.78,10.05,0.21%,Yes,Meena Iyer,24-10-2010
BA00111,2020,6,June,Q2,North Zone,Uttar Pradesh,retail banking,Total Disbursement,3953.6,4781.9,828.3,20.95%,Yes,Rajesh Sharma,09-Dec-25
BA00112,2013,2,February,Q1,central zone,Tamil Nadu,Corporate Banking,Net Interest Income,1292.12,1649.41,357.29,27.65%,Yes,KAVITHA SUBRAMANIAN,24-02-2013
BA00113,2022,7,July,Q3,Central Zone,WEST BENGAL,Priority Banking,NPA Amount,4876.68,4957.13,80.45,1.65%,Yes,nitin joshi,24-07-2022
BA00114,2017,3,Mar,Q1,North Zone,MADHYA PRADESH,NRI Banking,New Customer Acquisition,1405.43,,-299.94,-21.34%,No,Rajesh Sharma,24-03-2017
BA00115,2015,7,JULY,Q3,South Zone,Telangana,NRI Banking,CROSS SELL REVENUE,1267.81,1340.71,72.9,5.75,Yes,Anita Bose,24-07-2015
BA00116,2015,11,NOVEMBER,Q4,South Zone,  Delhi,NRI Banking,New Customer Acquisition,2052.05,2532.53,480.48,23.41%,Yes,Deepa Krishnan,24-11-2015
BA00117,2021,1,Jan,Q1,  North Zone,Karnataka,sme banking,Net Interest Income,2793.34,2239.1,-554.24,-19.84%,No,Rajesh Sharma,24-01-2021
BA00118,2010,7,July,Q3,east zone,Punjab,Corporate Banking,  Cross Sell Revenue,Rs.4401.6,3755.37,-646.23,-14.68%,No,Deepa Krishnan,17-02-2011
BA00119,2016,8,August,Q3,West Zone,Gujarat,  Corporate Banking,Total Disbursement,2447.96,2498.03,50.07,2.05%,Yes,Rajesh Sharma,24-08-2016
BA00120,2022,2,February,Q1,Central Zone,Punjab,SME BANKING,Recovery Amount,738.09,623.46,-114.63,-15.53%,No,Priya Nair,10-09-2022
BA00121,2025,8,Aug,Q3,Central Zone,Telangana,Corporate Banking,cross sell revenue,2830.97,3113.71,Rs.282.74,9.99%,Yes,Ramesh Yadav,02-11-2025
BA00122,2012,9,September,Q3,South Zone,Rajasthan,Retail Banking,Fee Income,4123.23,4454.25,331.02,8.03%,Yes,Kavitha Subramanian,24-09-2012
BA00123,2012,11,November,Q4,South Zone,GUJARAT,retail banking,NPA Amount,3322.9,4013.23,690.33,20.77%,Yes,Sunita Rao,24-11-2012
BA00124,2015,7,July,Q3,central zone,Odisha,NRI BANKING,Total Deposits,865.83,1108.16,Rs.242.33,27.99%,Yes,Nitin Joshi,21-Aug-18
BA00125,2018,9,September,Q3,North Zone,Telangana,NRI Banking,Fee Income,1953.33,1677.3,-276.03,-14.13%,No,Nitin Joshi,24-09-2018
BA00126,2018,7,July,Q3,Central Zone,Andhra Pradesh,Retail Banking,Cross Sell Revenue,3406.27,3626.12,219.85,6.45%,Yes,Deepa Krishnan,12-10-2022
BA00127,2022,6,Jun,Q2,East Zone,Karnataka,SME Banking,Profit Before Tax,1942.51,2166.94,Rs.224.43,11.55%,Yes,Kavitha Subramanian,12-03-2022
BA00128,2022,2,February,Q1,South Zone,  West Bengal,Corporate Banking,Fee Income,1548.58,1715.31,166.73,10.77%,Yes,Ramesh Yadav,24-02-2022
BA00129,2020,6,June,Q2,North Zone,Andhra Pradesh,Corporate Banking,Net Interest Income,2025.59,1789.31,-236.28,-11.66%,No,Lalita Devi,07-01-2025
BA00130,2025,1,January,Q1,South Zone,HARYANA,nri banking,New Customer Acquisition,1307.14,1645.81,338.67,25.91%,Yes,Priya Nair,24-01-2025
BA00131,2023,2,February,Q1,North Zone,Odisha,retail banking,Recovery Amount,484.84,543.35,58.51,12.07%,Yes,  Amit Patel,24-11-2023
BA00132,2016,11,November,Q4,West Zone,Kerala,corporate banking,  Fee Income,1690.13,Rs.1377.05,-313.08,-18.52%,No,  Amit Patel,01-10-2020
BA00133,2020,1,Jan,Q1,East Zone,Gujarat,Priority Banking,fee income,2238.16,2825.78,587.62,26.25%,Yes,Arun Mehta,21-Dec-23
BA00134,2010,3,March,Q1,Central Zone,Kerala,  Priority Banking,NPA AMOUNT,2255.92,2326.06,70.14,3.11%,Yes,Deepa Krishnan,27-Apr-13
