Product_ID,Product_Name,Product_Category,Sub_Category,Min_Loan_Amount_INR,Max_Loan_Amount_INR,Min_Tenure_Months,Max_Tenure_Months,Interest_Rate_Pct,Processing_Fee_Pct,Prepayment_Allowed,GST_Applicable,Launch_Date,Status,Issuing_Bank,Risk_Category,Target_Segment
PRD0001,home loan,  Loans,Secured,500000,500000,7,303,8.12,0.48,No,Applicable,18-Aug-20,ACTIVE,HDFC Bank,HIGH,NRI Banking
PRD0002,Personal Loan,Loans,Unsecured,500000,1000000,11,207,15.92,2.31,NO,yes,13-07-2019,ACTIVE,HDFC Bank,Medium,Retail Banking
PRD0003,  Auto Loan,Loans,Secured,500000,1000000,12,142,14.99,0.48,Yes,yes,25-09-2021,Under Review,  Bank of Baroda,high,Priority Banking
PRD0004,GOLD LOAN,Loans,Secured,10000,1000000,7,136,10.24,1.44,YES,Yes,08-02-1997,Active,hdfc bank,High,SME Banking
PRD0005,Education Loan,LOANS,Unsecured,10000,500000,10,169,8.95,0.37,YES,Applicable,04-03-2020,Active,hdfc bank,Low,Retail Banking
PRD0006,Business Loan,Loans,Unsecured,50000,50000000,11,67,12.63,2.26,Yes,No,04-03-2020,Active,  HDFC Bank,Medium,  SME Banking
PRD0007,Loan Against Property,Loans,Secured,10000,50000000,8,29,16.43,2.15,Yes,yes,26-07-2022,Discontinued,HDFC Bank,Medium,Retail Banking
PRD0008,Credit Card,CARDS,Unsecured,500,10000000,1,360,10.09,0.03,Yes,Yes,28-06-2009,Active,HDFC BANK,HIGH,Retail Banking
PRD0009,Savings Account,DEPOSITS,Deposits,1000,5000,1,120,4.24,0,N/A,No,07-09-1999,Discontinued,HDFC Bank,Low,Priority Banking
PRD0010,Fixed Deposit,Deposits,Deposits,1000,10000000,1,120,8.28,0,N/A,No,04-03-2020,ACTIVE,HDFC Bank,HIGH,Corporate Banking
PRD0011,RECURRING DEPOSIT,Deposits,Deposits,1000,Rs.10000000,1,120,6.95,0,N/A,No,02-11-2015,Active,  HDFC Bank,Low,Priority Banking
PRD0012,Mutual Fund,Investments,Investments,500,10000000,1,360,3.26,1.21,Yes,No,04-07-2017,Active,HDFC Bank,MEDIUM,NRI Banking
PRD0013,Insurance,Insurance,Insurance,500,10000000,1,360,8.24,1.03,No,No,04-03-2020,Under Review,HDFC Bank,low,Corporate Banking
PRD0014,OD Facility,loans,Unsecured,100000,100000000,8,129,16.53,0.31,YES,N/A,31-07-2024,ACTIVE,HDFC Bank,low,NRI Banking
PRD0015,Home Loan,Loans,Secured,Rs.25000,5000000,8,284,22.46,1.63,Yes,N/A,04-03-2020,ACTIVE,ICICI Bank,  Low,NRI Banking
PRD0016,Personal Loan,Loans,Unsecured,10000,100000000,8,223,19.5,2.26,Yes,Applicable,13-11-2024,ACTIVE,icici bank,MEDIUM,SME Banking
PRD0017,auto loan,LOANS,Secured,10000,50000000,11,136,7,0.79,Partial,yes,26-12-2003,active,ICICI Bank,MEDIUM,Priority Banking
PRD0018,Gold Loan,Loans,Secured,500000,50000000,7,348,15.78,0.87,Yes,No,08-03-2003,Under Review,icici bank,HIGH,Corporate Banking
PRD0019,Education Loan,Loans,Unsecured,100000,5000000,10,297,15.54,1.12,YES,Yes,04-03-2020,active,ICICI Bank,Medium,retail banking
PRD0020,Business Loan,Loans,Unsecured,50000,1000000,12,286,11.33,2.02,Yes,N/A,13-06-2022,active,ICICI Bank,MEDIUM,Priority Banking
PRD0021,Loan Against Property,Loans,Secured,50000,5000000,10,151,9.51,2.18,yes,yes,02-Nov-12,Under Review,ICICI BANK,HIGH,RETAIL BANKING
PRD0022,Credit Card,CARDS,Unsecured,500,10000000,1,360,10.27,1.37,Yes,Yes,15-02-2000,ACTIVE,ICICI Bank,Low,SME BANKING
PRD0023,Savings Account,Deposits,Deposits,1000,10000000,1,120,5.36,0,N/A,No,07-Apr-97,Discontinued,ICICI Bank,medium,NRI Banking
PRD0024,Fixed Deposit,Deposits,Deposits,1000,10000000,1,120,4.4,0,N/A,No,04-03-2020,active,ICICI Bank,Medium,Retail Banking
PRD0025,Recurring Deposit,Deposits,Deposits,1000,10000000,1,120,3.64,0,N/A,No,06-03-2003,Active,ICICI BANK,Medium,Retail Banking
PRD0026,Mutual Fund,INVESTMENTS,Investments,500,10000000,1,360,3.01,0.08,No,No,12-06-2000,Active,ICICI Bank,  HIGH,Priority Banking
PRD0027,Insurance,Insurance,Insurance,500,2500,1,360,14.85,0.2,Yes,Yes,24-04-2016,ACTIVE,ICICI Bank,MEDIUM,Priority Banking
PRD0028,OD Facility,Loans,Unsecured,500000,50000000,9,325,18.12,0.41,No,N/A,04-03-2020,active,ICICI Bank,low,SME BANKING
